title,year,plot,genres,combined_rating,imdb_id,vote_count,director,stars,genres_list,genres_clean,director_list,director_clean,stars_list,stars_clean,plot_clean,content_features
Jeux d'enfants,2003,"As adults, best friends Julien and Sophie continue the odd game they started as children -- a fearless competition to outdo one another with daring and outrageous stunts. While they often act out to relieve one another's pain, their game might be a way to avoid the fact that they are truly meant for one another.","['Comedy', 'Drama', 'Romance']",7.5,tt0364517,73439.0,['Yann Samuell'],"['Guillaume Canet', 'Marion Cotillard', 'Thibault Verhaeghe', 'Joséphine Lebas-Joly']","['Comedy', 'Drama', 'Romance']","Comedy, Drama, Romance",['Yann Samuell'],Yann Samuell,"['Guillaume Canet', 'Marion Cotillard', 'Thibault Verhaeghe', 'Joséphine Lebas-Joly']","Guillaume Canet, Marion Cotillard, Thibault Verhaeghe, Joséphine Lebas-Joly","As adults, best friends Julien and Sophie continue the odd game they started as children -- a fearless competition to outdo one another with daring and outrageous stunts. While they often act out to relieve one another's pain, their game might be a way to avoid the fact that they are truly meant for one another.","As adults, best friends Julien and Sophie continue the odd game they started as children -- a fearless competition to outdo one another with daring and outrageous stunts. While they often act out to relieve one another's pain, their game might be a way to avoid the fact that they are truly meant for one another. Comedy, Drama, Romance Yann Samuell Guillaume Canet, Marion Cotillard, Thibault Verhaeghe, Joséphine Lebas-Joly"
Un long dimanche de fiançailles,2004,"Tells the story of a young woman's relentless search for her fiancé, who has disappeared from the trenches of the Somme during World War One.","['Drama', 'Mystery', 'Romance']",7.6,tt0344510,76874.0,['Jean-Pierre Jeunet'],"['Audrey Tautou', 'Gaspard Ulliel', 'Jodie Foster', 'Dominique Pinon']","['Drama', 'Mystery', 'Romance']","Drama, Mystery, Romance",['Jean-Pierre Jeunet'],Jean-Pierre Jeunet,"['Audrey Tautou', 'Gaspard Ulliel', 'Jodie Foster', 'Dominique Pinon']","Audrey Tautou, Gaspard Ulliel, Jodie Foster, Dominique Pinon","Tells the story of a young woman's relentless search for her fiancé, who has disappeared from the trenches of the Somme during World War One.","Tells the story of a young woman's relentless search for her fiancé, who has disappeared from the trenches of the Somme during World War One. Drama, Mystery, Romance Jean-Pierre Jeunet Audrey Tautou, Gaspard Ulliel, Jodie Foster, Dominique Pinon"
The Station Agent,2003,"When his only friend dies, a man born with dwarfism moves to rural New Jersey to live a life of solitude, only to meet a chatty hot dog vendor and a woman dealing with her own personal loss.","['Comedy', 'Drama']",7.6,tt0340377,75469.0,['Tom McCarthy'],"['Peter Dinklage', 'Patricia Clarkson', 'Bobby Cannavale', 'Paul Benjamin']","['Comedy', 'Drama']","Comedy, Drama",['Tom McCarthy'],Tom McCarthy,"['Peter Dinklage', 'Patricia Clarkson', 'Bobby Cannavale', 'Paul Benjamin']","Peter Dinklage, Patricia Clarkson, Bobby Cannavale, Paul Benjamin","When his only friend dies, a man born with dwarfism moves to rural New Jersey to live a life of solitude, only to meet a chatty hot dog vendor and a woman dealing with her own personal loss.","When his only friend dies, a man born with dwarfism moves to rural New Jersey to live a life of solitude, only to meet a chatty hot dog vendor and a woman dealing with her own personal loss. Comedy, Drama Tom McCarthy Peter Dinklage, Patricia Clarkson, Bobby Cannavale, Paul Benjamin"
21 Grams,2003,"A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con.","['Crime', 'Drama', 'Thriller']",7.6,tt0315733,249734.0,['Alejandro G. Iñárritu'],"['Sean Penn', 'Benicio Del Toro', 'Naomi Watts', 'Danny Huston']","['Crime', 'Drama', 'Thriller']","Crime, Drama, Thriller",['Alejandro G. Iñárritu'],Alejandro G. Iñárritu,"['Sean Penn', 'Benicio Del Toro', 'Naomi Watts', 'Danny Huston']","Sean Penn, Benicio Del Toro, Naomi Watts, Danny Huston","A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con.","A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con. Crime, Drama, Thriller Alejandro G. Iñárritu Sean Penn, Benicio Del Toro, Naomi Watts, Danny Huston"
Boksuneun naui geot,2002,"A recently laid off factory worker kidnaps his former boss' friend's daughter, hoping to use the ransom money to pay for his sister's kidney transplant.","['Crime', 'Drama', 'Thriller']",7.5,tt0310775,77879.0,['Chan-wook Park'],"['Kang-ho Song', 'Shin Ha-kyun', 'Bae Doona', 'Ji-Eun Lim']","['Crime', 'Drama', 'Thriller']","Crime, Drama, Thriller",['Chan-wook Park'],Chan-wook Park,"['Kang-ho Song', 'Shin Ha-kyun', 'Bae Doona', 'Ji-Eun Lim']","Kang-ho Song, Shin Ha-kyun, Bae Doona, Ji-Eun Lim","A recently laid off factory worker kidnaps his former boss' friend's daughter, hoping to use the ransom money to pay for his sister's kidney transplant.","A recently laid off factory worker kidnaps his former boss' friend's daughter, hoping to use the ransom money to pay for his sister's kidney transplant. Crime, Drama, Thriller Chan-wook Park Kang-ho Song, Shin Ha-kyun, Bae Doona, Ji-Eun Lim"
Finding Neverland,2004,"1903 London. Renowned playwright J.M. Barrie (James)'s latest effort has garnered less than positive reviews, something he knew would be the case even before the play's mounting. This failure places pressure on James to write another play quickly as impresario Charles Frohman needs another to replace the failure to keep his theater viable. Out for a walk with his dog in part to let his creative juices flow, James stumbles upon the Llewelyn Davies family: recently widowed Sylvia Llewelyn Davies (the daughter of now deceased author George L. Du Maurier) and her four adolescent sons. James and the family members become friends, largely based on he and the boys being able to foster in each other the imagination of children, James just being the biggest among them in this regard. Sylvia also welcomes James into their lives, he who becomes an important and integral part of it. Among the six of them, the only one who does not want to partake is Sylvia's third, Peter Llewelyn Davies, who is still grieving the reality of their lives, where his father was there one day planning an outing for the family, and gone the next. Two other people who don't appreciate James in the Llewelyn Davies' lives are: his wife, Mary Barrie, who always feels the need to be the responsible one in their relationship and who feels threatened by his friendship with an unmarried woman; and Emma du Maurier, Sylvia's overbearing mother, who sees him as an obstacle to Sylvia moving on with her life with another potential husband, and an impediment to maintaining discipline within the boys. James still hopes to bring Peter out of his self-imposed shell, but in the process comes up with an idea for another play based on an amalgam of himself and Peter, that play which eventually becomes what Charles sees as a largely unmountable and thus doomed production called ""Peter Pan"". This process of helping Peter could take a step backward when it looks like Sylvia may imminently befall a similar fate to that of her late husband.","['Biography', 'Drama', 'Family']",7.6,tt0308644,214637.0,['Marc Forster'],"['Johnny Depp', 'Kate Winslet', 'Julie Christie', 'Radha Mitchell']","['Biography', 'Drama', 'Family']","Biography, Drama, Family",['Marc Forster'],Marc Forster,"['Johnny Depp', 'Kate Winslet', 'Julie Christie', 'Radha Mitchell']","Johnny Depp, Kate Winslet, Julie Christie, Radha Mitchell","1903 London. Renowned playwright J.M. Barrie (James)'s latest effort has garnered less than positive reviews, something he knew would be the case even before the play's mounting. This failure places pressure on James to write another play quickly as impresario Charles Frohman needs another to replace the failure to keep his theater viable. Out for a walk with his dog in part to let his creative juices flow, James stumbles upon the Llewelyn Davies family: recently widowed Sylvia Llewelyn Davies (the daughter of now deceased author George L. Du Maurier) and her four adolescent sons. James and the family members become friends, largely based on he and the boys being able to foster in each other the imagination of children, James just being the biggest among them in this regard. Sylvia also welcomes James into their lives, he who becomes an important and integral part of it. Among the six of them, the only one who does not want to partake is Sylvia's third, Peter Llewelyn Davies, who is still grieving the reality of their lives, where his father was there one day planning an outing for the family, and gone the next. Two other people who don't appreciate James in the Llewelyn Davies' lives are: his wife, Mary Barrie, who always feels the need to be the responsible one in their relationship and who feels threatened by his friendship with an unmarried woman; and Emma du Maurier, Sylvia's overbearing mother, who sees him as an obstacle to Sylvia moving on with her life with another potential husband, and an impediment to maintaining discipline within the boys. James still hopes to bring Peter out of his self-imposed shell, but in the process comes up with an idea for another play based on an amalgam of himself and Peter, that play which eventually becomes what Charles sees as a largely unmountable and thus doomed production called ""Peter Pan"". This process of helping Peter could take a step backward when it looks like Sylvia may imminently befall a similar fate to that of her late husband.","1903 London. Renowned playwright J.M. Barrie (James)'s latest effort has garnered less than positive reviews, something he knew would be the case even before the play's mounting. This failure places pressure on James to write another play quickly as impresario Charles Frohman needs another to replace the failure to keep his theater viable. Out for a walk with his dog in part to let his creative juices flow, James stumbles upon the Llewelyn Davies family: recently widowed Sylvia Llewelyn Davies (the daughter of now deceased author George L. Du Maurier) and her four adolescent sons. James and the family members become friends, largely based on he and the boys being able to foster in each other the imagination of children, James just being the biggest among them in this regard. Sylvia also welcomes James into their lives, he who becomes an important and integral part of it. Among the six of them, the only one who does not want to partake is Sylvia's third, Peter Llewelyn Davies, who is still grieving the reality of their lives, where his father was there one day planning an outing for the family, and gone the next. Two other people who don't appreciate James in the Llewelyn Davies' lives are: his wife, Mary Barrie, who always feels the need to be the responsible one in their relationship and who feels threatened by his friendship with an unmarried woman; and Emma du Maurier, Sylvia's overbearing mother, who sees him as an obstacle to Sylvia moving on with her life with another potential husband, and an impediment to maintaining discipline within the boys. James still hopes to bring Peter out of his self-imposed shell, but in the process comes up with an idea for another play based on an amalgam of himself and Peter, that play which eventually becomes what Charles sees as a largely unmountable and thus doomed production called ""Peter Pan"". This process of helping Peter could take a step backward when it looks like Sylvia may imminently befall a similar fate to that of her late husband. Biography, Drama, Family Marc Forster Johnny Depp, Kate Winslet, Julie Christie, Radha Mitchell"
25th Hour,2002,"Cornered by the DEA, convicted New York drug dealer Montgomery Brogan reevaluates his life in the 24 remaining hours before facing a seven-year jail term.",['Drama'],7.6,tt0307901,187526.0,['Spike Lee'],"['Edward Norton', 'Barry Pepper', 'Philip Seymour Hoffman', 'Rosario Dawson']",['Drama'],Drama,['Spike Lee'],Spike Lee,"['Edward Norton', 'Barry Pepper', 'Philip Seymour Hoffman', 'Rosario Dawson']","Edward Norton, Barry Pepper, Philip Seymour Hoffman, Rosario Dawson","Cornered by the DEA, convicted New York drug dealer Montgomery Brogan reevaluates his life in the 24 remaining hours before facing a seven-year jail term.","Cornered by the DEA, convicted New York drug dealer Montgomery Brogan reevaluates his life in the 24 remaining hours before facing a seven-year jail term. Drama Spike Lee Edward Norton, Barry Pepper, Philip Seymour Hoffman, Rosario Dawson"
The Butterfly Effect,2004,"Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal.","['Drama', 'Sci-Fi', 'Thriller']",7.6,tt0289879,539396.0,['Eric Bress'],"['J. Mackye Gruber', 'Ashton Kutcher', 'Amy Smart', 'Melora Walters']","['Drama', 'Sci-Fi', 'Thriller']","Drama, Sci-Fi, Thriller",['Eric Bress'],Eric Bress,"['J. Mackye Gruber', 'Ashton Kutcher', 'Amy Smart', 'Melora Walters']","J. Mackye Gruber, Ashton Kutcher, Amy Smart, Melora Walters","Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal.","Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal. Drama, Sci-Fi, Thriller Eric Bress J. Mackye Gruber, Ashton Kutcher, Amy Smart, Melora Walters"
28 Days Later...,2002,"Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary.","['Drama', 'Horror', 'Sci-Fi']",7.5,tt0289043,472748.0,['Danny Boyle'],"['Cillian Murphy', 'Naomie Harris', 'Christopher Eccleston', 'Alex Palmer']","['Drama', 'Horror', 'Sci-Fi']","Drama, Horror, Sci-Fi",['Danny Boyle'],Danny Boyle,"['Cillian Murphy', 'Naomie Harris', 'Christopher Eccleston', 'Alex Palmer']","Cillian Murphy, Naomie Harris, Christopher Eccleston, Alex Palmer","Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary.","Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary. Drama, Horror, Sci-Fi Danny Boyle Cillian Murphy, Naomie Harris, Christopher Eccleston, Alex Palmer"
Batoru rowaiaru,2000,"In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act.","['Action', 'Adventure', 'Drama']",7.5,tt0266308,200528.0,['Kinji Fukasaku'],"['Tatsuya Fujiwara', 'Aki Maeda', 'Tarô Yamamoto', 'Takeshi Kitano']","['Action', 'Adventure', 'Drama']","Action, Adventure, Drama",['Kinji Fukasaku'],Kinji Fukasaku,"['Tatsuya Fujiwara', 'Aki Maeda', 'Tarô Yamamoto', 'Takeshi Kitano']","Tatsuya Fujiwara, Aki Maeda, Tarô Yamamoto, Takeshi Kitano","In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act.","In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act. Action, Adventure, Drama Kinji Fukasaku Tatsuya Fujiwara, Aki Maeda, Tarô Yamamoto, Takeshi Kitano"
The Royal Tenenbaums,2001,The eccentric members of a dysfunctional family reluctantly gather under the same roof for various reasons.,"['Comedy', 'Drama']",7.6,tt0265666,322055.0,['Wes Anderson'],"['Gene Hackman', 'Gwyneth Paltrow', 'Anjelica Huston', 'Ben Stiller']","['Comedy', 'Drama']","Comedy, Drama",['Wes Anderson'],Wes Anderson,"['Gene Hackman', 'Gwyneth Paltrow', 'Anjelica Huston', 'Ben Stiller']","Gene Hackman, Gwyneth Paltrow, Anjelica Huston, Ben Stiller",The eccentric members of a dysfunctional family reluctantly gather under the same roof for various reasons.,"The eccentric members of a dysfunctional family reluctantly gather under the same roof for various reasons. Comedy, Drama Wes Anderson Gene Hackman, Gwyneth Paltrow, Anjelica Huston, Ben Stiller"
Y tu mamá también,2001,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other.",['Drama'],7.7,tt0245574,134148.0,['Alfonso Cuarón'],"['Maribel Verdú', 'Gael García Bernal', 'Daniel Giménez Cacho', 'Ana López Mercado']",['Drama'],Drama,['Alfonso Cuarón'],Alfonso Cuarón,"['Maribel Verdú', 'Gael García Bernal', 'Daniel Giménez Cacho', 'Ana López Mercado']","Maribel Verdú, Gael García Bernal, Daniel Giménez Cacho, Ana López Mercado","In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other.","In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other. Drama Alfonso Cuarón Maribel Verdú, Gael García Bernal, Daniel Giménez Cacho, Ana López Mercado"
Harry Potter and the Sorcerer's Stone,2001,"This is the tale of Harry Potter (Daniel Radcliffe), an ordinary eleven-year-old boy serving as a sort of slave for his aunt and uncle who learns that he is actually a wizard and has been invited to attend the Hogwarts School for Witchcraft and Wizardry. Harry is snatched away from his mundane existence by Rubeus Hagrid (Robbie Coltrane), the groundskeeper for Hogwarts, and quickly thrown into a world completely foreign to both him and the viewer. Famous for an incident that happened at his birth, Harry makes friends easily at his new school. He soon finds, however, that the wizarding world is far more dangerous for him than he would have imagined, and he quickly learns that not all wizards are ones to be trusted.","['Adventure', 'Family', 'Fantasy']",7.7,tt0241527,901321.0,['Chris Columbus'],"['Daniel Radcliffe', 'Rupert Grint', 'Richard Harris', 'Maggie Smith']","['Adventure', 'Family', 'Fantasy']","Adventure, Family, Fantasy",['Chris Columbus'],Chris Columbus,"['Daniel Radcliffe', 'Rupert Grint', 'Richard Harris', 'Maggie Smith']","Daniel Radcliffe, Rupert Grint, Richard Harris, Maggie Smith","This is the tale of Harry Potter (Daniel Radcliffe), an ordinary eleven-year-old boy serving as a sort of slave for his aunt and uncle who learns that he is actually a wizard and has been invited to attend the Hogwarts School for Witchcraft and Wizardry. Harry is snatched away from his mundane existence by Rubeus Hagrid (Robbie Coltrane), the groundskeeper for Hogwarts, and quickly thrown into a world completely foreign to both him and the viewer. Famous for an incident that happened at his birth, Harry makes friends easily at his new school. He soon finds, however, that the wizarding world is far more dangerous for him than he would have imagined, and he quickly learns that not all wizards are ones to be trusted.","This is the tale of Harry Potter (Daniel Radcliffe), an ordinary eleven-year-old boy serving as a sort of slave for his aunt and uncle who learns that he is actually a wizard and has been invited to attend the Hogwarts School for Witchcraft and Wizardry. Harry is snatched away from his mundane existence by Rubeus Hagrid (Robbie Coltrane), the groundskeeper for Hogwarts, and quickly thrown into a world completely foreign to both him and the viewer. Famous for an incident that happened at his birth, Harry makes friends easily at his new school. He soon finds, however, that the wizarding world is far more dangerous for him than he would have imagined, and he quickly learns that not all wizards are ones to be trusted. Adventure, Family, Fantasy Chris Columbus Daniel Radcliffe, Rupert Grint, Richard Harris, Maggie Smith"
The Others,2001,A woman who lives in her darkened old family house with her two photosensitive children becomes convinced that the home is haunted.,"['Horror', 'Mystery', 'Thriller']",7.6,tt0230600,408972.0,['Alejandro Amenábar'],"['Nicole Kidman', 'Christopher Eccleston', 'Fionnula Flanagan', 'Alakina Mann']","['Horror', 'Mystery', 'Thriller']","Horror, Mystery, Thriller",['Alejandro Amenábar'],Alejandro Amenábar,"['Nicole Kidman', 'Christopher Eccleston', 'Fionnula Flanagan', 'Alakina Mann']","Nicole Kidman, Christopher Eccleston, Fionnula Flanagan, Alakina Mann",A woman who lives in her darkened old family house with her two photosensitive children becomes convinced that the home is haunted.,"A woman who lives in her darkened old family house with her two photosensitive children becomes convinced that the home is haunted. Horror, Mystery, Thriller Alejandro Amenábar Nicole Kidman, Christopher Eccleston, Fionnula Flanagan, Alakina Mann"
Blow,2001,"The story of how George Jung, along with the Medellín Cartel headed by Pablo Escobar, established the American cocaine market in the 1970s in the United States.","['Biography', 'Crime', 'Drama']",7.5,tt0221027,281481.0,['Ted Demme'],"['Johnny Depp', 'Penélope Cruz', 'Franka Potente', 'Rachel Griffiths']","['Biography', 'Crime', 'Drama']","Biography, Crime, Drama",['Ted Demme'],Ted Demme,"['Johnny Depp', 'Penélope Cruz', 'Franka Potente', 'Rachel Griffiths']","Johnny Depp, Penélope Cruz, Franka Potente, Rachel Griffiths","The story of how George Jung, along with the Medellín Cartel headed by Pablo Escobar, established the American cocaine market in the 1970s in the United States.","The story of how George Jung, along with the Medellín Cartel headed by Pablo Escobar, established the American cocaine market in the 1970s in the United States. Biography, Crime, Drama Ted Demme Johnny Depp, Penélope Cruz, Franka Potente, Rachel Griffiths"
